"포인트 wkt","시설물 id","시군구 코드","시군구명","읍면동 코드","읍면동명","시설코드","안심귀갓길 아이디","안심귀갓길 명","설치대수","비고","관리기관","전화번호","조성년월","시설물 최종점검일(사용안함)","세부위치설명","데이터 기준일자","이미지명"
"POINT (126.968590563668 37.5793826677127)","1111011000_04_P01","1111000000","서울특별시 종로구","1111011000","누하동","301","1111011000_04","종로안심04","1","","종로CCTV통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P01_301.jpeg"
"POINT (126.968590563668 37.5793826677127)","1111011000_04_P02","1111000000","서울특별시 종로구","1111011000","누하동","307","1111011000_04","종로안심04","1","","서울종로경찰서","","2015","","","20221109","1111011000_04_P02_307.jpeg"
"POINT (126.968590563668 37.5793826677127)","1111011000_04_P03","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P03_305.jpeg"
"POINT (126.968590563668 37.5793826677127)","1111011000_04_P04","1111000000","서울특별시 종로구","1111011000","누하동","302","1111011000_04","종로안심04","4","","종로 CCTV 통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P04_302.jpeg"
"POINT (126.968535907548 37.579433000699)","1111011000_04_P05","1111000000","서울특별시 종로구","1111011000","누하동","302","1111011000_04","종로안심04","1","방범용 CCTV","종로 CCTV 통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P05_302.jpeg"
"POINT (126.968469780128 37.5794100978088)","1111011000_04_P06","1111000000","서울특별시 종로구","1111011000","누하동","304","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P06_304.jpeg"
"POINT (126.968374877192 37.5794352461928)","1111011000_04_P07","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P07_305.jpeg"
"POINT (126.96812760059 37.5793916977198)","1111011000_04_P08","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P08_305.jpeg"
"POINT (126.967969438972 37.5794099631075)","1111011000_04_P09","1111000000","서울특별시 종로구","1111011000","누하동","304","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P09_304.jpeg"
"POINT (126.967995282443 37.5794946455272)","1111011000_04_P10","1111000000","서울특별시 종로구","1111011000","누하동","307","1111011000_04","종로안심04","1","","서울종로경찰서","","2015","","","20221109","1111011000_04_P10_307.jpeg"
"POINT (126.967995282443 37.5794946455272)","1111011000_04_P11","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P11_305.jpeg"
"POINT (126.967949189643 37.5796914461324)","1111011000_04_P12","1111000000","서울특별시 종로구","1111011000","누하동","301","1111011000_04","종로안심04","1","","종로CCTV통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P12_301.jpeg"
"POINT (126.967949189643 37.5796914461324)","1111011000_04_P13","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P13_305.jpeg"
"POINT (126.967949189643 37.5796914461324)","1111011000_04_P14","1111000000","서울특별시 종로구","1111011000","누하동","302","1111011000_04","종로안심04","2","방범용 CCTV","종로 CCTV통합안전센터","02-2148-4301","2015","","","20221109","1111011000_04_P14_302.jpeg"
"POINT (126.967788141954 37.5797325957374)","1111011000_04_P15","1111000000","서울특별시 종로구","1111011000","누하동","305","1111011000_04","종로안심04","1","","","","2015","","","20221109","1111011000_04_P15_305.jpeg"
